Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Urban Asia - Kitchen & Bar,The Food O’Clock,"This place is highly recommended. It is working with Eat India Company under the same roof, may be kitchen as well. Basically u ca order any of the two’s menu from one table. Eat India Company has Indian food while Urban Asia has asian food like chinese, thai food, etc.

We ordered The Real Bangkok Basa, Chef/Subba’s secret recipe noodles and Sanghai Fried Rice from Urban Asia.

The Real Bangkok Basa- It tastes so good. It was steamed Fish and mixed with some green sauce. Taste was 5/5 .

Subba’s secret recipe noodles was gravy noodles with lots of veggies, mushroom, chicken. Taste 5/5

Sanghai Fried Rice was a mixed of noodles and rice in which noodles was more than the rice. Taste was 5/5

Service 4/5, little bit slow in bringing food.

Ambiance 4/5",5,"26 Reviews , 13 Followers",5/25/2019 20:23,0,,"{'food': ['The Real Bangkok Basa', ""Subba's secret recipe noodles"", 'Sanghai Fried Rice'], 'drink': []}"
Urban Asia - Kitchen & Bar,Ravi Shankar Gupta,We had evening dinner at this restaurant. Food was delicious. We had Chinese as well as north indian. Both were delicious. I recommend for weekend food with family here,5,"1 Review , 1 Follower",5/24/2019 23:23,0,,"{'food': ['Chinese', 'north indian'], 'drink': []}"
Urban Asia - Kitchen & Bar,Rajshekher. 92,"The staff is kind and I think that's the moto of the Restaurant. The food is delicious, and there is the option for buffet and Alacarte, so we choose buffet which every thing they served on the table, which is really a good thing for me because I went with my parent. Coming to the food special I like the most, corn cube, prawn, fish, and yes ofcourse murgh angara..the staff cares about all its customers and are polite, just amazing..
Food 4.5
Ambience 3.5
Service 5
Diffenitly will be back with my team cheers..",5,"1 Review , 1 Follower",5/24/2019 2:03,0,,"{'food': ['corn cube', 'prawn', 'fish', 'murgh angara'], 'drink': []}"
Urban Asia - Kitchen & Bar,Vamsi Krishna,"Came here on a Thursday evening for dinner only to be served the worst quality food. The service was absolutely terrible... no air conditioning in the sweltering heat ... after multiple requests we got our food ( literally begged for the food to be served)... what’s not there on the buffet menu also they don’t tell the customer... the main course was served cold... pre-scooped ice creams.. and what not

Some mango juice they served... don’t know how that was drinkable ....

Worst decision to spend our evening here .. absolutely terrible experience

Giving one star because I can’t give -5

FOOD = -100/5
Service - can’t put a negative number that high
Ambience - no air conditioning on a summer evening
Price — not worth even 1/5th",1,"3 Reviews , 6 Followers",5/23/2019 21:41,0,,"{'food': ['worst quality food', 'pre-scooped ice creams'], 'drink': ['mango juice']}"
Urban Asia - Kitchen & Bar,Arunraj R,I ordered a Thai curry which is to die for . The waiters were so polite. The best thing in this place is that it's calm and quiet. It's a good place to relax and enjoy great food.,5,"10 Reviews , 64 Followers",5/21/2019 23:03,0,,"{'food': ['Thai curry'], 'drink': []}"
Urban Asia - Kitchen & Bar,Aditya Rastogi,"The place is not worth going. Too overrated and over priced. From starters to desserts, the food is not worth the money and not tasty. They don't charge properly for Zomato gold, you have to check the bill carefully for the items deducted under gold 2+2. I would rate the place as:
Food- 2/5
Ambiance- 3/5
Service-3.5/5
Value for money- 2/5",1,"39 Reviews , 530 Followers",5/12/2019 23:27,0,,"{'food': ['starters', 'desserts'], 'drink': []}"
Urban Asia - Kitchen & Bar,Yashwanth Kota,"Simply the best Asian restaurant in the city. So fresh and lively food. This will enhance your health as well. I am vegetarian and I like the way they decorate and combine the veggies. Must try corn cubes, vegetable pan fried noodles. 4 star for the service which needs improvement.",4,"29 Reviews , 61 Followers",5/7/2019 15:26,1,,"{'food': ['corn cubes', 'vegetable pan fried noodles'], 'drink': []}"
Urban Asia - Kitchen & Bar,Radhika Burra,"This is my second visit to this place. Like the Ambience much and cool place to chill out. Had been there along with a friend for dinner. We didn't want to go for Buffet for sure, so it was ala carte.

Angara Murgu Kabab, Rara Ghost and Butter Naan... Starter was with much salt and lemon... Rara Ghost is nice, perfection at it's best... Was a good combination with Butter Naan...

Service was very nice and as I said earlier nice ambience...",3,"78 Reviews , 76 Followers",4/28/2019 19:16,4,,"{'food': ['Ambience', 'Cool place to chill out', 'Buffet', 'Ala carte'], 'drink': []}"
Urban Asia - Kitchen & Bar,Pushkar Shah,"Visited Urban Asia based on their rating and reviews. However, we were utterly disappointed. We visited the Gachibowli location of the restaurant and it is clubbed with East India Co. The waiter handed us the ""Signature"" menu and that is when the ordeal began. Most of the signature dishes were unavailable. It was surprising since it was a Saturday and I assumed that the restaurant would be well prepared to handle something important as their Signature Menu. Eventually, we had to settle for the buffet which was priced at 650++. Overall a disappointing evening.",3,3 Reviews,4/26/2019 10:04,0,,"{'food': ['Signature'], 'drink': []}"
Urban Asia - Kitchen & Bar,Bhavani Sankar Raju Machiraju,We have been there for team dinner for a buffet. Ambience is good. Food is decent but serving is not at all good. You can neglect this as we have lot of options aroubd Gachibowli,3,"16 Reviews , 11 Followers",4/15/2019 14:54,1,,"{'food': ['buffet'], 'drink': []}"
Urban Asia - Kitchen & Bar,Nag Vamc,This is one of the favourite food spots in Jubilee Hills but this outlet they have started in Gachibowli too been here with cousin..checked out Menu for having different thing and ordered starter Corn and Cheese Crudettes in smoked Butter Garlic..it was really yummy and the best starters I had in recent times and had Aamir’s and Gautam’s Anda Bandi Fried the name itself was catchy..Taste was also perfect..was spicy and Yummy,4,"62 Reviews , 116 Followers",4/11/2019 2:32,7,,"{'food': ['Corn and Cheese Crudettes', 'Aamir’s and Gautam’s Anda Bandi Fried'], 'drink': []}"
