Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Pot Pourri,Binnani,"I had bad experience here with Masala Papad. I had went for dinner with colleagues and had order 13 masala papad. Spice level was too high and it was not editable. 15 people were not even able to finish 2 out of thirteen . So don't order Masala Papad

Apart from this, rest of the food was good but service was lousy.",3,2 Reviews,5/25/2019 14:43,0,,"{'food': ['bad experience', 'dinner with colleagues', 'order 13 masala papad', 'spice level was too high', 'not editable', '15 people', 'not even able to finish 2 out of thirteen'], 'drink': []}"
Pot Pourri,Sravani,Nice ambiance....different and delicious food...polite and friendly staff serving...jus loved the paneer starters 😍 recommend to visit this place,5,"10 Reviews , 10 Followers",5/22/2019 13:56,1,,"{'food': ['paneer starters'], 'drink': []}"
Pot Pourri,Arunraj R,"Affordable good food. I would have given a 5 star if value for money was a factor in star rating. Waiters were polite , food was delicious. Good place to eat out regularly.",4,"10 Reviews , 64 Followers",5/21/2019 23:12,0,,"{'food': ['delicious'], 'drink': []}"
Pot Pourri,Asha Tejaswini,I had the worst experience with the food and the service.Food is not great and the service took so long.The place is not totally air-conditioned and the staff is a bit rude to customers.,1,"14 Reviews , 10 Followers",5/17/2019 20:36,0,,"{'food': ['worst experience', 'food is not great', 'service took so long'], 'drink': []}"
Pot Pourri,Chandrasekhar Dasika,"*IF YOU ARE READING THIS, AND SITLL GOING TO THIS PLACE - EITHER YOU WORK THERE OR YOU ARE DU#B*
*I STRONGLY DISCOURAGE FAMILIES WITH KIDS FROM VISITING THIS PLACE*

*WRITING THIS REVIEW WITHIN 10 HOURS OF VISITING THIS PLACE*

Wish I could give a negative rating. This place is ridiculously lazy. No this review is not about food, cost or ambience. This is about people and their mindset.

810pm: four of us including two kids aged kids aged 2 and 7 step in

815pm: another large party and a couple of other families check-in

820pm: menu card was give to us

830pm: someone walked over to take the order but not before taking orders for other two parties (thug life!). We order Veg Biriyani, two rotis and Kadai Paneer

845pm: remind them about the order; said we need a couple of minutes

845pm: other groups already served food

850pm: remind them about the order; informed it will take another couple of minutes. My two year old son already started crying for food; elder daughter clearly getting irritated

855pm: again informed it will take a couple of minutes. i said I will walk out if food doesnt come in 30s.

856pm: our family walks out in front of the staff. Staff doesnt make the slightest attempt to stop us

The last part obviously indicates they havent started the preparation yet. So no loss in letting us leave.

The sheer apathy of staff was quite overwhelming. I can understand being profit centric and your obvious need to serve a bigger party. But with two hungry kids kept waiting for more than 45 min at your place without any food being offered smacks of apathy and insensitivity (after being reminded about it). And in this time and age of digital pervasiveness, beign careless about it is inviting trouble.",1,"5 Reviews , 29 Followers",5/13/2019 12:48,0,,"{'food': ['Veg Biriyani', 'two rotis', 'Kadai Paneer'], 'drink': []}"
Pot Pourri,Saikrishna Javvaji,"went for A-LA-Carte here.. Heard a lot about this previously. went with full of excitement. I wanna rate this restaurant in 3 aspects. 1. Ambience: I should say it is just OK. they could have done it much better. Looks like they have spent a lot on establishment but no aww factor. 2.Taste: The food tastes good here. Almost every main course and starter were good except the dessert - Carrot Halwa and Mango Juice(Welcome Drink). They both didn't taste good. 3.Hospitality: The Hospitality is quite good. I was satisfied with the staff in the restaurant.

As a whole, I would recommend going here. You will love the food.",4,"1 Review , 75 Followers",5/11/2019 16:00,0,,"{'food': ['A-LA-Carte', 'Carrot Halwa', 'Mango Juice'], 'drink': ['Welcome Drink']}"
Pot Pourri,Sarada Mylavarapu,"Vegetarian options in this place were really good, buffet has some good options, special mention to panasa Kaya curry, not so many options in dessert, overall a decent place easily to locate",4,"54 Reviews , 84 Followers",5/9/2019 18:37,0,,"{'food': ['Vegetarian options', 'Buffet', 'Panasa Kaya curry'], 'drink': []}"
Pot Pourri,Swetha Talasu,Been here for 2 times... Food is good in both alacart and buffet servings... Ambience is ok ... Seafood tasted much better... Lemon chicken has been my fav dish,4,"4 Reviews , 3 Followers",5/9/2019 17:39,0,,"{'food': ['Seafood', 'Lemon chicken'], 'drink': []}"
Pot Pourri,Vijay,Food is really very disappointing. Kheema pulao had many chicken pieces and rice was cooked very bad. Even kheema was not prepared well.awful experience,2,"1 Review , 1 Follower",5/8/2019 22:38,0,,"{'food': ['Kheema pulao', 'chicken pieces', 'rice'], 'drink': []}"
Pot Pourri,Madhan Mohan Reddy,I have been to Pot Pourri along with my Colleague for Lunch. We had Pot Pourri Chicken Roast and Mamsam(Mutton) Pulao .Both were delicious.One must try these for sure. Highly recommended place .They do have Buffet as well.Worth giving a shot 🍽,5,"2 Reviews , 1 Follower",5/8/2019 0:12,0,,"{'food': ['Pot Pourri Chicken Roast', 'Mamsam(Mutton) Pulao'], 'drink': []}"
