Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Frio Bistro,Oindrila Dutta,"One of my favorite restaurants in the locality. Great food. Good interiors and good service. I love their set of menu. The quality, portion size and the taste of food never disappoints. Some of my favorites are stuffed chicken breast, curry cream risotto with chicken and broccoli and Hyderabad hot pizza.",5,"6 Reviews , 2 Followers",5/17/2019 20:01,0,,"{'food': ['stuffed chicken breast', 'curry cream risotto with chicken and broccoli', 'Hyderabad hot pizza'], 'drink': []}"
Frio Bistro,Rohit Rao,"Frio! Like unique name like unique place. Frio is one Awesome place. Whats really nice is now a days you see these black interiors that's really catching the trend and not they have done it real good.

Food is amazing, they have baked pizzas that's really tasty and cool, their cooler drinks are tasty, snackers lip smacking.

We were 6 of us and this person there, Sachin, was really nice and on spot. Served us right, made sure our food experience was smooth, kept asking us feedback of the food. It's a lovely place. Must go.

Thank-you Frio! :)",5,"54 Reviews , 71 Followers",5/17/2019 11:36,5,,"{'food': ['pizzas', 'snackers'], 'drink': ['cooler drinks']}"
Frio Bistro,Manidhar_pjr,"Food: 🌟🌟🌟🌟

The food was good.Each and every item was delicious.....they are just awesome.Its the best place for a quick lunch.

The shakes are good and they serve as the perfect drink for the mesmerizing food.😋😋😋😋

Ambience: 🌟🌟🌟🌟🌟

It's a small place but its beautifully maintained. Should visit this place during the evening to enjoy the ambience of this place.

Service and the staff: 🌟🌟🌟🌟

The service here is very fast. You dont have to wait for anything. The staff are very well mannered and are very quick in responding to your order. They are well trained to handle the guests and make them feel comfortable.

Quantity to Price: 🌟🌟🌟

Thank you.",4,"45 Reviews , 116 Followers",5/14/2019 12:32,7,,"{'food': ['Food: 🌟🌟🌟🌟', 'Food: 🌟🌟🌟🌟', 'Food: 🌟🌟🌟🌟', 'Food: 🌟🌟🌟🌟', 'Food: 🌟🌟🌟🌟'], 'drink': ['Drink: 🌟🌟🌟🌟', 'Drink: 🌟🌟🌟🌟', 'Drink: 🌟🌟🌟🌟', 'Drink: 🌟🌟🌟🌟', 'Drink: 🌟🌟🌟🌟']}"
Frio Bistro,Arunraj R,"Multiple bad experiences now. Food was bad. Waiter was impolite.While leaving , my car today got stuck in parking. Frio manager was outside and pretended to not hear me honking.",1,"10 Reviews , 64 Followers",5/11/2019 22:09,0,,"{'food': ['bad', 'impolite'], 'drink': ['bad', 'impolite']}"
Frio Bistro,Sarvani Upadrasta,"Best food I have ever had..Satisfied with every dish and there are so yummy. We tried club chilly cheese toast,mezze platter,florenten garden,spicy tomato arabiatta,signature mushroom risoto and
frio's signature tiramasu..Every thing is great and unique....It is not the place for spicy lovers....U should visit this place to taste unique and delicious food...Love the ambience too",5,"14 Reviews , 3 Followers",5/10/2019 17:12,3,,"{'food': ['club chilly cheese toast', 'mezze platter', 'florenten garden', 'spicy tomato arabiatta', 'signature mushroom risotto', ""frio's signature tiramasu""], 'drink': []}"
Frio Bistro,Akanksha Jain,"Ambience- 4
Food- 4.5
Service- 3
Value for money- 4.5

Came here for a quick lunch.
Ordered mezze platter, wild mushroom fricassee and peach iced tea.
Hummus tasted good but the pita bread was a little hard.
The pasta was heavenly. Perfectly cooked pasta and lots of mushroom with an amazing sauce.
Iced tea tasted nice but was a little too sweet. Make sure you mention it to them if you’re not a fan of super sweet drinks.

Could improve on the service bit, the staff is a little slow and less responsive even when it isn’t crowded.

5/5 in terms of value if you’re a gold member.


Surely trying this place again.",4,"73 Reviews , 411 Followers",5/9/2019 12:50,1,,"{'food': ['mezze platter', 'wild mushroom fricassee', 'peach iced tea', 'hummus', 'pita bread', 'pasta', 'mushroom sauce', 'pasta'], 'drink': ['peach iced tea', 'iced tea']}"
Frio Bistro,Varun K,"Wonderful restaurant! Absolutely fabulous food!

Ambience: very nice and comfy... Doesn't feel rushed which is particularly important for this kind of place.

Food: every morsel is heavenly! They nailed both veg and non veg dishes which is a rarity in itself... Loved the pizzas, the fish and chips is a must order, the penne Alfredo is pretty good too... As is the spicy crispy chicken leg dish.... Absolutely delicious! Mushroom soup was very nice too.... minestrone was average.... Couldn't try the desserts because there's only so much a person can have lol...

P.S. - they do have a bar but no Bira.

Service - polite. But you must be patient. Food preparation takes time. If you reach post 9:30pm, you will be expected to order your entire meal in one shot itself.

VFM - it's an expensive bistro but the chef deserves it. He's absolutely spot on with the flavours. I would strongly recommend this restaurant. You deserve it!",5,"141 Reviews , 3151 Followers",5/5/2019 13:39,1,,"{'food': ['pizzas', 'fish and chips', 'penne Alfredo', 'spicy crispy chicken leg dish', 'mushroom soup', 'minestrone'], 'drink': []}"
Frio Bistro,Jayanthi Palanichamy,This is my favorite comfort food place. Almost all the items in their menu are super tasty. Their keema puff is one of best I have tasted. Pizza and pasta are delicious too.,5,"2 Reviews , 1 Follower",5/5/2019 12:33,3,,"{'food': ['keema puff', 'pizza', 'pasta'], 'drink': []}"
Frio Bistro,Harshet Agarwal,"good location and menu
at first it seemed like an ordinary place, but had a good feel to it
according to food the prices are quite high, not like the ingredients are imported.
food was decent and so were the drinks
over an average experience",3,"34 Reviews , 36 Followers",5/4/2019 18:13,0,,"{'food': ['food was decent'], 'drink': ['drinks were decent']}"
Frio Bistro,Sreetama Pal,"Really really nice addition to the Gachibowli food scene, this place is comfortably furnished and rather perfect for a long catch up over delectable food.

Pineapple espresso, burgers and the pork ribs are highly recommended. Pizzas looked interesting as well.

Good value for money. Good service, although our server seemed slightly clueless initially.

Definitely worth a couple of visits :)",4,"102 Reviews , 540 Followers",5/4/2019 15:43,0,,"{'food': ['pizza', 'burgers', 'pork ribs'], 'drink': ['pineapple espresso']}"
