Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Beyond Flavours,Rusha Chakraborty,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",5,"1 Review , 2 Followers",5/25/2019 15:54,0,2447.0,"{'food': ['food was quite good'], 'drink': []}"
Beyond Flavours,Anusha Tirumalaneedi,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,5,"3 Reviews , 2 Followers",5/25/2019 14:20,0,,"{'food': ['food'], 'drink': []}"
Beyond Flavours,Ashok Shekhawat,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,5,"2 Reviews , 3 Followers",5/24/2019 22:54,0,,"{'food': ['Penne Alfredo Pasta'], 'drink': []}"
Beyond Flavours,Swapnil Sarkar,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",5,"1 Review , 1 Follower",5/24/2019 22:11,0,,"{'food': ['Soumen das', 'And good food off course'], 'drink': []}"
Beyond Flavours,Dileep,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,5,"3 Reviews , 2 Followers",5/24/2019 21:37,0,,"{'food': ['Kodi drumsticks', 'basket mutton biryani'], 'drink': []}"
Beyond Flavours,Nagabhavani K,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",5,1 Review,5/24/2019 15:22,0,,"{'food': ['food is aPradeecp and subro best service'], 'drink': []}"
Beyond Flavours,Jamuna Bhuwalka,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",5,1 Review,5/24/2019 1:02,0,,"{'food': ['food we ordered was very tasty'], 'drink': []}"
Beyond Flavours,Sandhya S,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,4,1 Review,5/23/2019 15:01,0,,"{'food': ['crispy corn', 'Tawa fish'], 'drink': []}"
Beyond Flavours,Akash Thorat,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5,"1 Review , 1 Follower",5/22/2019 23:12,0,,"{'food': ['Excellent food', 'spicy food'], 'drink': ['Shubro', 'pradeep', 'papiya']}"
Beyond Flavours,Smarak Patnaik,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",5,"1 Review , 1 Follower",5/22/2019 22:37,0,,"{'food': ['chili honey lotus stem'], 'drink': []}"
Beyond Flavours,Saubhagya Bhuyan,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,5,"1 Review , 1 Follower",5/22/2019 22:22,0,,"{'food': ['service', 'food'], 'drink': []}"
Beyond Flavours,Srivaths07,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",5,"3 Reviews , 1 Follower",5/22/2019 21:43,0,,"{'food': ['amazing food'], 'drink': []}"
Beyond Flavours,Kunj Mishra,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,5,"1 Review , 1 Follower",5/22/2019 21:29,0,,"{'food': ['Soup', 'Honey Chilli Lotus Stem'], 'drink': []}"
Beyond Flavours,Pradeep Vetapalem,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,5,"2 Reviews , 25 Followers",5/22/2019 21:21,0,,"{'food': ['Food is too good', 'Telangana kodiak fry', 'Mutton biriyani'], 'drink': ['Papiya helped to choose best dishes and attended very well']}"
Beyond Flavours,Kankaria.ritu,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",1,1 Review,5/22/2019 21:19,0,,"{'food': ['corn cheese balls', 'manchow soup', 'paneer shashlik'], 'drink': []}"
Beyond Flavours,Abhay Sharma,Food and ambience is fantastic.. Waiter Manav Maji was really quick in his service.. Cheese Balls is a must try starter as it was very scrumptious,5,"4 Reviews , 7 Followers",5/22/2019 20:38,0,,"{'food': ['Cheese Balls'], 'drink': []}"
Beyond Flavours,Shubham Jaiswal,"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty.

The ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",4,"30 Reviews , 34 Followers",5/22/2019 19:54,8,,"{'food': ['food was good and tasty', 'buffet and all the items in veg and non-veg were tasty'], 'drink': []}"
Beyond Flavours,Srijani Mukherjee,The best thing about this place is the food. My favorite go to dish here is definitely Alfredo Pasta although other items are good as well. And the service and behavior of the staff is top-notch. We we're attended by Mr. Soumen Das and he was extremely polite. Will definitely visit soon.,5,"6 Reviews , 267 Followers",5/22/2019 19:47,1,,"{'food': ['Alfredo Pasta'], 'drink': []}"
Beyond Flavours,Hari Jangam,Polite and friendly staff. Nice ambience and good spread of menu. Drinks are awesome. Service is very good by manav... looking forward to seeing it again...,5,"1 Review , 1 Follower",5/22/2019 15:13,0,,"{'food': ['Polite and friendly staff', 'Nice ambience and good spread of menu'], 'drink': ['Drinks are awesome', 'Service is very good by manav']}"
Beyond Flavours,Suneet Soni,"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.",5,"1 Review , 33 Followers",5/21/2019 22:08,0,,"{'food': ['paneer', 'mushroom', 'kofta'], 'drink': []}"
Beyond Flavours,Little Chef Chika,"Beautiful, cozy and classy at the same time, this place is truly recommended for your special days. With 15 percent corporate discounts, you can treat your cotorie well without burning a hole ur pocket. Also, the interior is done so well, you ll love the vibe. On the menu, honey chilli lotus stems, basket biryanis, sizzling brownies were my favourite. Also loved the tomato basil shorba, different from the creamy standards in other restaurants. I'm definitely making more visits to Beyond Flavours. Special mention to Papiya, our hostess for the evening, excellent service :)",5,"72 Reviews , 762 Followers",5/21/2019 22:06,0,,"{'food': ['honey chilli lotus stems', 'basket biryanis', 'sizzling brownies'], 'drink': ['tomato basil shorba']}"
Beyond Flavours,Sneha Munigela,"please was good but it was quite expensive and coming to taste we can rate 3 out of 5, we cant click better pictures wen we visit in night🤣🤭best in day time for pics",4,"6 Reviews , 1 Follower",5/21/2019 20:17,1,,"{'food': ['was good'], 'drink': ['quite expensive']}"
Beyond Flavours,Sneha Sarkar,Service was too good and fast. Even these people were so polite and well behaving. Manav and pradeep you were good. Hope everyone behaves the same way,4,"2 Reviews , 2 Followers",5/21/2019 10:53,0,,"{'food': ['Service was too good and fast.'], 'drink': []}"
Beyond Flavours,Tony,"We had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy
Food was perfect desserts, starters was wonderful",5,"8 Reviews , 25 Followers",5/21/2019 5:43,0,,"{'food': ['desserts', 'starters'], 'drink': []}"
Beyond Flavours,Amritap Datta,"Excellent experience, mouthwatering food, good ambience, a must go place in hyderabad. We were served by Shubhro and Papiya. They were awesome in their behaviour. Had an enjoyable evening with friends.",5,1 Review,5/20/2019 23:33,0,,"{'food': ['mouthwatering food'], 'drink': []}"
Beyond Flavours,Imteja7,The place is very good.. 5* to the live music.. She is just superb with beautiful voice.. Food is nice n loved the lightning..😍entrance is also very nice..,5,3 Reviews,5/20/2019 14:17,0,,"{'food': ['food is nice', 'loved the lightning'], 'drink': []}"
Beyond Flavours,Nisha Gahlawat,"Sonalin has a great voice.. 😍 must visit the place once.. became fan of her. The food is good.. 5 star from my side. Live music, lightening everything is just awesome 😍",5,"2 Reviews , 1 Follower",5/20/2019 12:45,0,,"{'food': ['food'], 'drink': []}"
Beyond Flavours,Dharini Hombal,I heard her voice..she is too beautiful with amazing voice ..just love her voice the way she sings 😍 became fan of Sonalin Priyadarshini. Good place must visit. The food is also nice..,5,"1 Review , 26 Followers",5/20/2019 12:30,0,,"{'food': ['food'], 'drink': []}"
Beyond Flavours,Ankita Sinha,Sonalin is a very good singer in the city.. beautiful face with beautiful face must visit this place .. Beautiful live music.. loved it.. 😍 loved the food as well. Very good lightning.,5,"9 Reviews , 5 Followers",5/20/2019 12:25,0,,"{'food': ['food'], 'drink': []}"
Beyond Flavours,Ppck2412,"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time.",4,"3 Reviews , 3 Followers",5/20/2019 12:11,0,,"{'food': ['Food is descent enough.', 'Desert options were also good.'], 'drink': []}"
