Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Gal Punjab Di,Mitali Agrawal,"Food is good in taste. Specially the rotis are very soft and crispy. Kadhai paneer was okay, as it was not really a Kadhai paneer basically a paneer curry.
Service is quick. Overall a value for money.",4,"19 Reviews , 2 Followers",5/24/2019 22:35,0,,"{'food': ['rotis', 'paneer'], 'drink': []}"
Gal Punjab Di,Sarvani Upadrasta,"Food tastes good..We had hara bara kabaab, aachar paneer tikka in starters..Starters are okk ..Not so great. In main course we had paneer lababdar and veg angara...Veg angara is delicious...Must try dish. .Patiala lassi is not up to the mark....Overall food is okkk....But service ia very bad....Management should concentrate on service as well...",3,"14 Reviews , 3 Followers",5/24/2019 17:42,0,,"{'food': ['hara bara kabaab', 'paneer lababdar', 'veg angara'], 'drink': ['patiala lassi']}"
Gal Punjab Di,Vijayita Gumber,"Cool Interior, Service was bit slow, Being a punjabi loved their punjabi playlist and punjabi food

Food - Dahi kabab were amazing served with mint chutney and spicy onions - 4.5/5
Garlic naan, Paneer do pyaza was usual -3/5",4,2 Reviews,5/23/2019 21:03,5,,"{'food': ['Dahi kabab', 'Garlic naan', 'Paneer do pyaza'], 'drink': []}"
Gal Punjab Di,Smrati Saxena,"I've been to place many times. really nice food. high on price side but that is okay because they serve a good north indian food
would recommend tandoori momos from this place",4,"18 Reviews , 41 Followers",5/23/2019 20:55,0,,"{'food': ['tandoori momos'], 'drink': []}"
Gal Punjab Di,Prasun Gokhlani,If you love butter chicken you can't miss out on this place. Butter chicken and naan and you'll be satisfied. Nothing more that's needed. Brings in the true Punjab to Hyderabad,4,"25 Reviews , 5 Followers",5/16/2019 23:48,0,,"{'food': ['butter chicken', 'naan'], 'drink': []}"
Gal Punjab Di,Sneha Battula,"Definitely worth a try if you're looking for some lip smacking North Indian Food.

Must try: Kadai Paneer, Garlic Naan, Shikari Murgh, Dum Ke Aloo, and Chicken Nachos.

Patiala Lassi is a must try as well but I wasn't too happy about it cause it didn't have much authenticity to it. It sure would be a game changer if they brought in some changes to it.",4,"76 Reviews , 860 Followers",5/14/2019 12:18,0,,"{'food': ['Kadai Paneer', 'Garlic Naan', 'Shikari Murgh', 'Dum Ke Aloo', 'Chicken Nachos'], 'drink': ['Patiala Lassi']}"
Gal Punjab Di,Nikunj Keshav,"I went to this place for a lunch with my friend. We were the first one to land at the restaurant - sharp @12noon. Yeah! We were actually hungry. I liked the place - decoration was awesome! Cool interior. We ordered Veg Machaow Soup, Masala Papad, butter naan, Paneer Massallam and masala cold drinks. Please do note they give only Masala cold drink and not a regular cold col drink. We liked the food, taste was good. But the cold drink was tasteless - I guess it was already opened one so couldn't get the taste bar that everything was good. Ambiance was actually the best - decoration, the and ample space. But service could have been good and fast.

Food - 4/5
Ambiance - 5/5
Service - 4/5

Overall - 4.5/5

Thanks for the hospitality though!",4,13 Reviews,5/11/2019 13:24,4,,"{'food': ['Veg Machaow Soup', 'Masala Papad', 'Butter Naan', 'Paneer Massallam'], 'drink': ['Masala Cold Drink']}"
Gal Punjab Di,Amit Goyal,"Good ambience. Amazing food. 'Gol Gol Gaulloti' and Dal Makhani are must try items.
Good place!
Good ambience. Amazing food. 'Gol Gol Gaulloti' and Dal Makhani are must try items.
Good place!",5,"5 Reviews , 2 Followers",5/9/2019 14:35,0,,"{'food': ['Gol Gol Gaulloti', 'Dal Makhani'], 'drink': []}"
Gal Punjab Di,Ayush,"Love the food here.. but not today :/
Dahi ke kabab - most Favourite - not today.. small kebab no dahi..
Dhabe di daal - big ginger chuncks
Tandoori roti - not cooked

Service on slower end.. Wish ordered food on swiggy than coming down.. its better when delivered ..

Had food but not enjoyed... Please keep the taste and service top notch.. wish you good luck",3,"2 Reviews , 65 Followers",5/5/2019 22:46,0,,
Gal Punjab Di,Anupam Acharya,"We had ordered the Spicy Mutter paratha (2/5) and the Mooli paratha (3/5). The parathas were thick and there was no butter on them. It comes with a drink(3/5) and dal makhani(3/5). Now I am not a regular paratha eater but occasionally i love my aloo, gobi and mooli ke parathe. I have always ordered and found them to be good but this time i was disappointed. From the looks of the paratha, i am sorry to say this, but it didn't look very punjabi. Punjabis know their paratha well and wouldn't compromise on it. Cheers!",2,"207 Reviews , 400 Followers",5/5/2019 0:02,1,,"{'food': ['Spicy Mutter paratha', 'Mooli paratha'], 'drink': ['dal makhani']}"
Gal Punjab Di,SUMANTA CHATTERJEE,"We visited this place during weekdays. This place is at prime location , easily accessible and has good ambience. We ordered tandoori and lasooni Tikka. Both of them were under cooked and were not worth it . Main course was not good either. Servings were taking lot of time to complete.",2,1 Review,5/1/2019 21:27,0,,"{'food': ['tandoori', 'lasooni'], 'drink': []}"
Gal Punjab Di,Sourabh Maity,"We a bunch of friends went for a holiday dinner. Ordered tandoori murg, lasuni murgh tikka. Both the dishes were under cooked. Masala was not cooked at all. Had to throw away.",1,1 Review,5/1/2019 21:16,0,,"{'food': ['tandoori murg', 'lasuni murgh tikka'], 'drink': []}"
Gal Punjab Di,Manas Gangishetti,Worst dal khichdi ever very less quantity. Expected a very good taste and quantity. Just pathetic service restaurant should check before serving the food. If you are going to maintain such poor quality it is not going to work for you,1,"2 Reviews , 39 Followers",5/1/2019 16:36,0,,"{'food': ['dal khichdi'], 'drink': []}"
Gal Punjab Di,Pragati Pathak(No Fake Followers Please),"good ambience.
Tried Manchow soup,roti,dal makhani,raita.
all were very good in taste .
I tried thali once that was also good and enough for one person.",4,"92 Reviews , 1088 Followers",4/26/2019 17:42,0,,
Gal Punjab Di,Yash Sheth,"I visited this place with my friend. It is there right in the heart of Gachibowli's Indiranagar, vinayak nagar.

Upon entering, you will definitely feel good and like a family restaurant, which it is. The ambience is decent but its furniture are bit off. There are some corner sittings which many may or may not like and then there were chairs where fitting in was a bit tight.

Then comes the interaction with the staff. They are quite friendly and hard working too. They do have a quick serving time but thing is their attire was not up to the mark.

Menu had a wide variety of items and at some decent rates. I really liked the way they split between veg and non-veg food.

We ordered quite a lot of stuff but I really liked the dahi kebab. It was good. But with such good starter I had pinned my hopes on Patiala lassi. But that was an anti climax of sorts. They used essence for the lassi. I hope they start making more authentic lassi with a malai on top. That will surely be a game changer.

Overall... it was a mixed experience and hence 3/5.",3,"59 Reviews , 182 Followers",4/20/2019 17:19,3,,"{'food': ['dahi kebab'], 'drink': ['patiala lassi']}"
Gal Punjab Di,Aparnakarra291,Food was simply Superb.Punjabi food was very delicious and also if we go to restaurant service was also really Good.Ambience is also very nice.and the restaurant was very peaceful to sit and enjoy Food,5,2 Reviews,4/19/2019 9:01,0,,"{'food': ['Superb', 'Delicious'], 'drink': []}"
Gal Punjab Di,PRINCE GUPTA,"Good ambiance and song playlist 😀, excellent place for deshi food lovers. I tried non-veg and it was really tasty.must try #murgh_mussalam.",5,1 Review,4/12/2019 19:58,0,,"{'food': ['non-veg'], 'drink': []}"
Gal Punjab Di,Pragya V,"When you are looking for some lip smacking North Indian food, Gal Punjab Di is the answer.
I have tried a lot of things here and my personal favorites are:

Salads: Chana Chaat
Starter: Dahi ke Kebabs
Jwalamukhi Tikka
Achari paneer tikka
Main Course: paneer mussalam
Beverages: patiyala lassi and shikanji

Taste: 4/5
Portion: 4/5
Quality: 4.5/5

A decent place to dine in with family and friends.",4,"21 Reviews , 34 Followers",4/11/2019 8:06,7,,"{'food': ['Chana Chaat', 'Dahi ke Kebabs', 'Jwalamukhi Tikka', 'Achari paneer tikka', 'paneer mussalam'], 'drink': ['patiyala lassi', 'shikanji']}"
