Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Tandoori Food Works,Asha Akunuri,"Very less priced restaurant located in SLN terminus. Ordered tangdi kebab and chicken tikka biriyani .
Tangdi kebab dint meet the expectations . Bit oily and taste was ok but the mint chutney served with it was delicious .
Chicken tikka biriyani was good . Chicken was tender soft and biriyani flavour was good .
Zomato gold is applicable here so it costed only 200 bucks for two . Quite impressed with it . ☺️
Service was quick .",4,"47 Reviews , 60 Followers",5/20/2019 11:53,2,,"{'food': ['Tangdi kebab', 'Chicken tikka biriyani'], 'drink': []}"
Tandoori Food Works,Krishnakanth M,"Very pleasant experience at TFW. The stuffed tangdi kabab was fantastic. Succulent, mildly flavoured and a great salad to go with it. The sizzler biryani was a great innovative touch right down to the well cooked cabbage base. It added a new twist to the term biryani. Definitely a must visit.",4,"5 Reviews , 1 Follower",5/14/2019 21:09,0,,"{'food': ['stuffed tangdi kabab', 'sizzler biryani'], 'drink': []}"
Tandoori Food Works,Gauri,"Ordered chicken tikka from here. Never had itna oily chicken tikka in my life. The oil was dripping uncontrollably from the box, the packing was bad. The naans were full of oil, the plastic was full of oil, the sabji was so spicy that we could not finish it. Basically waste of money.",2,"31 Reviews , 21 Followers",5/12/2019 23:54,0,,"{'food': ['chicken tikka', 'naans', 'sabji'], 'drink': []}"
Tandoori Food Works,Ravi Teja,Thank you to this restaurant. I got 2 biryanis by using gold subscription. Enjoyed with low budget. That too shopping malls. Restaurant using technology with call alarms once our food was ready .,4,5 Reviews,5/11/2019 2:12,0,,"{'food': ['biryanis'], 'drink': ['gold subscription']}"
Tandoori Food Works,Neeraj Sethi,Good biryani. if you love kind of more burn and more spicy then try this one. This is located inside spar mall so good place to have dine. Zomato gold also available,4,"4 Reviews , 4 Followers",5/10/2019 0:43,0,,"{'food': ['biryani'], 'drink': []}"
Tandoori Food Works,Veeru,"Good food and great taste.
Worthy for the money.
Should try chicken tikka biryani.
Neat and clean packing with great taste. On time food delivery.",5,"1 Review , 2 Followers",4/30/2019 19:04,1,,"{'food': ['chicken tikka biryani'], 'drink': []}"
Tandoori Food Works,Shanthan Reddy,Good place to have a fast lunch or a quick bite. Taste was really good and especially the grilled peri peri chicken tikka burger was awesome.,4,"4 Reviews , 128 Followers",4/16/2019 11:51,0,,"{'food': ['grilled peri peri chicken tikka burger'], 'drink': []}"
Tandoori Food Works,Santosh Gupta,"I ordered Paneer tikka Biryani and got some non veg Biryani. Very bad services from both restaurant as well as Zomato.
I'm a pure vegetarian and this was really really bad.",1,2 Reviews,4/14/2019 1:45,0,,"{'food': ['Paneer tikka Biryani'], 'drink': []}"
Tandoori Food Works,Gadala Narendar,Waste of ordering food form this restaurant. I ordered tandoori full no quantity no packaging no taste waste of food. Delivery late from restaurant to Zomato delivery boy. Even single star also waste .,1,"3 Reviews , 1 Follower",4/10/2019 14:10,0,,"{'food': ['tandoori', 'full', 'no', 'quantity', 'no', 'packaging', 'no', 'taste'], 'drink': []}"
Tandoori Food Works,The Foodie Bookworm,Ordered the chicken tandoori biriyani few days back and it was really impressive the chicken was well cooked and the rice was also very flavourful. Loved the use of mint leaves as a garnish.,4,"108 Reviews , 242 Followers",4/1/2019 1:16,0,,"{'food': ['chicken tandoori biriyani'], 'drink': []}"
Tandoori Food Works,R J Prasad,Completely worst dinner. the butter Nan the send me is completely worst test and and very thick in size and the Nan is not cook in butter. very disappoint from the food,1,"1 Review , 2 Followers",3/30/2019 22:22,0,,"{'food': ['butter', 'Nan'], 'drink': ['is', 'the', 'send', 'me']}"
Tandoori Food Works,Vemula Sruthi,Hi Team..I am big fan of your restaurant and I visit frequently..but unfortunately I have received wrong order I have ordered veg paneer biryani and food I received was chicken biryani..when I called your exceutive he just disconnected my call .can you at least listen to your customers concerns..,2,1 Review,3/29/2019 23:46,0,,"{'food': ['veg paneer biryani'], 'drink': []}"
Tandoori Food Works,Ha,"Order regular paneer tikka briyani from this place which costs rs 250/-. The briyani was good but the paneer was not so fresh and the quantity was very less. It just fills one person stomach, if someone's appetite is high then they would regret if they order food from this place.

There were two sizes, small (Rs:160/-) and regular (rs:250/-). Obviously one would think that small fills one person and regular would fill two. But No!

Very disappointed with the portion of food that they serve.

The Raitha was really tasty!! I hope they increase the portion for the amount they charge.",3,"86 Reviews , 145 Followers",3/26/2019 2:33,1,,"{'food': ['paneer tikka briyani', 'Raitha'], 'drink': []}"
Tandoori Food Works,Balu Krishna,"Waste of money and worst taste I have ever tasted and very disappointed with Zomato again!!!
On my view Please eliminate this restaurant from your orders wallet and save your clients.

Thanks in advance!",1,1 Review,3/23/2019 0:02,1,,"{'food': ['pizza', 'burger', 'pasta'], 'drink': ['coke', 'juice']}"
Tandoori Food Works,Deepak Kumar,The quality is too good. Specially the Malai chicken tikka is worth trying. Mint flavoured biryani gives u a unique taste. Ovellall its must try thing when u r there.,5,"1 Review , 1 Follower",3/1/2019 19:50,2,,"{'food': ['Malai chicken tikka', 'Mint flavoured biryani'], 'drink': []}"
Tandoori Food Works,Sanjana Bajaj,"There is soo much oil in every dish we ordered.
Extremely ridiculous food.
Don't order from here. It's not first time it's like this, it's always like this.",1,"1 Review , 1 Follower",2/19/2019 14:12,0,,"{'food': ['oil'], 'drink': []}"
Tandoori Food Works,Vamsi A,quantity and quality need to be improve,3,5 Reviews,2/16/2019 18:03,0,,"{'food': ['quantity', 'quality'], 'drink': []}"
Tandoori Food Works,Lingamsetty Sandeep,ordered chicken Tikka. it's not at all good. I doubt it is chicken or not .,2,"2 Reviews , 1 Follower",2/13/2019 8:08,0,,"{'food': ['chicken'], 'drink': []}"
Tandoori Food Works,Prashant Dasvant,"Please see this bill ,I had orderd 2 nos. of bundi raita, and I get only 1 , when I call zomatto then he say call restaurant, this is u r responsiblity. This is really unfair",1,"1 Review , 2 Followers",2/10/2019 0:48,1,,"{'food': ['bundi raita'], 'drink': []}"
Tandoori Food Works,Varun Mannava,The best Kashmiri Pulao and Panneer Butter masala I have tasted till date ever!! Huge fan of the taste and flavor here.. Keep it up you guys!,5,"11 Reviews , 40 Followers",2/2/2019 22:56,0,,"{'food': ['Kashmiri Pulao', 'Panneer Butter masala'], 'drink': []}"
Tandoori Food Works,Parijat Ray,Food quality is too good. We have ordered fish tikka and paneer Mali tikka. Both of them were better than experience. Waiting time is too high. I felt the quantity is too less compared to the price.,3,"146 Reviews , 333 Followers",1/31/2019 22:48,0,,"{'food': ['fish tikka', 'paneer Mali tikka'], 'drink': []}"
Tandoori Food Works,Pratikr,"very less quantity for a regular that i ordered..... it cant even feed one person and they are charging 300 rs for this qty . Though the taste is good but quantity is very less, still hungry and had to order from another restaurant",2,"2 Reviews , 1 Follower",1/27/2019 20:23,0,,"{'food': ['regular'], 'drink': []}"
Tandoori Food Works,Moses Thumaty,"Ordered the Stuffed Tangdi online. First time that I tried this stuffed dish. Must say it was a pretty interesting dish.
Made it well. The tangdi and the stuffing were cooked well.Packaging was neat. Overall a good experience.",5,"5 Reviews , 2 Followers",1/27/2019 7:18,0,,"{'food': ['Stuffed Tangdi'], 'drink': []}"
Tandoori Food Works,Bondugula Dilip Kumar,Been there for having snacks.so ordered kebabs.one is paneer and other is chicken.They were awesome and good place to have chat with friends and complete the fooding.,4,"5 Reviews , 12 Followers",1/26/2019 14:20,0,,"{'food': ['paneer', 'chicken'], 'drink': []}"
Tandoori Food Works,Sanjeet Kumar Bhukta,"Went with my wife. Ordered tangdi kebab ,butter naan and kadai chicken. Kadai chicken was really good, but little disappointed on kebabs. So my rating is 4 star here. I would love to visit again and try the other items .",4,"25 Reviews , 979 Followers",1/19/2019 2:31,5,,"{'food': ['tangdi kebab', 'butter naan', 'kadai chicken'], 'drink': []}"
Tandoori Food Works,Sourabh Baranwal,"Ordered Murg malai tikka which was just amazing, Chicken biryani- tastes good but quantity was less as compared to other places in the same range. Will go again for the tikka.",4,"5 Reviews , 18 Followers",1/14/2019 12:16,0,,"{'food': ['Murg malai tikka', 'Chicken biryani'], 'drink': []}"
