review_id,user_id,business_id,stars,useful,funny,cool,text,date,ner_results
ahIqPowr7mpVksA8T55MZw,f7I623Uw3pOUIqkkL1ar-A,y1HgVnt4K5owmYXC5yXLGg,5,2,0,1,"Flambo is simply majestic!! Truly a hidden gem in Philly and the only place you can find  authentic, mouth watering Trinidadian cuisine. The service is impeccable and the owners are very welcoming. Once you walk in you'll feel like your in the islands and the food is beyond delicious. I recommend Flambo because the food is flavorful and prepared freshly. I'm never disappointed and did I mention how amazing, owners Kevin and his dad are? I will be returning!",2017-11-10 02:29:49,"{'food': ['Trinidadian cuisine'], 'drink': []}"
3svIKB0rfnuRFd2P3MesRw,QWYkm2MgrfAc-L28d9CGOw,uKAbrDSJJzZliY1Yqu5KxQ,5,0,0,0,"Excellent food, excellent service (thanks Christian!).  Definitely a new favorite.",2011-08-02 21:02:30,"{'food': ['Excellent food'], 'drink': []}"
4bKZWGVhngkEk_FZpdhoKg,2LD0Tn96SmYp8WS72feEgg,uVJkqQ1U9MH7hBorrwGhBg,5,3,1,1,im from dc came to visit a day yelped places to go ended up at wishbone....loved it the wings biscuits mac and cheese on a next level... #travelchannelworthy a must vist when in philly,2014-09-13 18:31:37,"{'food': ['wings', 'biscuits', 'mac and cheese'], 'drink': []}"
JALM0gRTwduw_WF24_cZfQ,Is-Q2Y2xy6lpyN2UBBTCUw,Dv6RfXLYe1atjgz3Xf4GGw,5,0,0,0,"I love this place. I eat quite a bit of food so a meal here costs me about $26 just for me however I'm fine with that as the ingredients are great and their offerings work well together. 

A meal for me starts with the arugula taco salad and the ziggy burger (i'd have liked to have had some red pepper flakes on the burger but other than that it was great) or the crispy ranch sandwich. 

I wash it down with a groothie and end the experience with a vegan brownie",2013-02-24 19:59:20,"{'food': ['arugula taco salad', 'ziggy burger', 'crispy ranch sandwich', 'vegan brownie'], 'drink': ['groothie']}"
fqmtyOVcHCjtRVQSQPGL-A,A5o65BbfpKkt0Bv-rECCpg,XpTNCVbO5wL1DtDyKzKqfA,3,1,0,0,"After reading the reviews I stopped by to pick up some goodies.  The shop is small but I was the only one in there so I had time to check out the selection.  It smelled great and the cookies were calling my name but I was on a mission: cream doughtnut and buttercake!  Check and check.  I couldn't even wait to get home and dove into my doughnut in the car.  It was good but I like another local bakery's better.  Later on I tried the buttercake and it was too sweet!  The filling was gritty and just way too much sugar, I could feel the cavities forming.  I'd rate Holmesburg bakery as average.  I might be back to try a few more items before I write them off",2015-04-18 10:15:03,"{'food': ['doughnut', 'buttercake'], 'drink': []}"
qreLobnw82HElQDMkxj4zQ,gfQqQYI5_hCAGEHlHXIz2Q,htO_nlxkEsYHzDrtbiUxew,5,2,0,1,"The coffee is delicious.  No matter where I am in the city, I look for La Colombe when I want coffee.

My review is for the coffee, for the roasters.  

My review for the coffeehouse off Rittenhouse Square?  One star.  I will not go in there again.  At La Colombe, they must train their staff to look down their noses at customers and be curt and rude. I agree with previous reviews about the ""euro-snobbery.""  Too bad, because I like this location and love their coffee",2007-06-13 00:45:41,
tS2T5N7NPpeyl_Lz8imoSw,xOMNoGBDTrk0ktC2vB4ARw,O6hY9yenifuRXrpc4TfgsQ,2,0,0,0,It was our first visit. The service was excellent. We had the mussels appetizer which was very good. My husband ordered the duck breast and I ordered the scallops. I was disappointed with the amount of scallops on the plate. There were 3 scallops on the plate. It was not worth the price of $24.00. I actually left still hungry.,2017-07-29 01:12:28,"{'food': ['mussels', 'duck breast', 'scallops'], 'drink': []}"
lw1ZjXoBz269dBQ0EQvbdA,agQIzYCb8Qc5f8a1JEb5og,USyJiGIvZ8fHjRVaVTu1Zw,4,0,0,0,Not as good as the original but a great choice for center city delivery. Definitely one of the best cheesesteaks in the area for a resonable price.,2009-03-08 20:12:33,"{'food': ['cheesesteak'], 'drink': []}"
DOmuUzjHQ7ArzmMva6eeuQ,4BDz8a81CWt3N04SKEXcyA,htO_nlxkEsYHzDrtbiUxew,5,0,0,0,No other coffee shop compares. Customer service is great the servers remember what your usual ordering habits are.,2016-04-12 19:29:31,"{'food': ['coffee', 'croissant'], 'drink': ['coffee']}"
a3qArqMbVw6TVL77qOJxsg,mSeiWczutzCn7X4sZKRRQQ,V6Om7YZhlRQRU7WfuxHq8Q,3,0,0,0,"I looooooove---D this place! I have all my co-workers addicted to the fried mac n cheese with the gumbo on top. We've been ordering it almost everyday for the last 2 weeks...

The first couple days the mac n cheese was dropped in the fryer--a scoop of gumbo poured on top.. and when you dipped your fork in the mac n cheese...YOU HEARD THAT CRUNCH! You felt that crunch in your mouth as the cheesy goodness made you feel like you were at home sitting at the dinner table...

However today--- I just so happened to lean over the counter. I saw the cook make some fresh orders of mac n cheese for  customers that were sitting down yet used some old mac and cheese balls for me and threw them in the microwave. I was very disappointed by that. They were soggy and it really damaged the quality overall. Smh I had no time to argue it there with a 30 min lunch break but I find it disheartening when you short change your customers on an experience. We love it but like wth smh",2018-08-15 16:50:47,"{'food': ['fried mac n cheese', 'gumbo'], 'drink': []}"
